epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5857.54,0.85046,0.74638,1.09729,0.90418,0.89418,0.93707,0.71406,0.7204,0.49304,0.97026,0.007228,0.007228,0.007228
44,6008.12,0.8442,0.73563,1.0925,0.91213,0.88758,0.93725,0.71289,0.71766,0.49136,0.96849,0.007162,0.007162,0.007162
45,6151.42,0.84114,0.72916,1.09217,0.91908,0.88428,0.93783,0.71458,0.71462,0.48866,0.96726,0.007096,0.007096,0.007096
46,6317.39,0.83903,0.72489,1.08954,0.92477,0.88539,0.93898,0.71519,0.71219,0.48398,0.96472,0.00703,0.00703,0.00703
47,6461.07,0.83077,0.70879,1.08591,0.92509,0.88985,0.94177,0.71742,0.71024,0.47835,0.96354,0.006964,0.006964,0.006964
48,6603.84,0.83027,0.71527,1.08469,0.92062,0.89299,0.94211,0.71977,0.70881,0.47486,0.96248,0.006898,0.006898,0.006898
49,6749.25,0.82633,0.70487,1.08243,0.92653,0.89064,0.9421,0.71963,0.70722,0.47266,0.96086,0.006832,0.006832,0.006832
50,6892.41,0.82439,0.69879,1.08165,0.9282,0.89144,0.94457,0.72435,0.70522,0.46926,0.95935,0.006766,0.006766,0.006766
51,7037.35,0.81758,0.69388,1.07932,0.92825,0.89454,0.94592,0.72661,0.70254,0.46705,0.95782,0.0067,0.0067,0.0067
52,7180.84,0.81534,0.68765,1.07614,0.92879,0.89464,0.94723,0.72696,0.70021,0.46449,0.95593,0.006634,0.006634,0.006634
53,7320.74,0.81003,0.6824,1.07294,0.92807,0.8929,0.94749,0.72778,0.69807,0.46198,0.95463,0.006568,0.006568,0.006568
54,7460.98,0.8142,0.67813,1.07498,0.92942,0.89125,0.94851,0.72856,0.69571,0.45943,0.95356,0.006502,0.006502,0.006502
55,7603.29,0.80647,0.67579,1.07235,0.92855,0.89529,0.94935,0.73001,0.69326,0.45712,0.95181,0.006436,0.006436,0.006436
56,7746.03,0.80043,0.66523,1.0664,0.92987,0.89671,0.95027,0.73043,0.69164,0.45547,0.95055,0.00637,0.00637,0.00637
57,7885.43,0.79788,0.65871,1.06573,0.93424,0.89529,0.95055,0.7306,0.69031,0.4531,0.94937,0.006304,0.006304,0.006304
58,8017.22,0.79079,0.65047,1.06287,0.93257,0.89906,0.9506,0.7307,0.68909,0.45119,0.94843,0.006238,0.006238,0.006238
59,8140.62,0.79349,0.65209,1.06287,0.93087,0.89874,0.95075,0.73179,0.68739,0.44979,0.94733,0.006172,0.006172,0.006172
60,8265.08,0.78375,0.64379,1.05729,0.93062,0.89919,0.95112,0.73245,0.68626,0.44802,0.94662,0.006106,0.006106,0.006106
61,8389.71,0.78209,0.63909,1.05599,0.93147,0.90056,0.95203,0.73415,0.68538,0.44663,0.94572,0.00604,0.00604,0.00604
62,8523.39,0.7823,0.63787,1.05671,0.93118,0.90187,0.95246,0.73488,0.68439,0.4449,0.94503,0.005974,0.005974,0.005974
63,8658.74,0.77875,0.63295,1.05644,0.9317,0.9037,0.95307,0.73584,0.68337,0.44372,0.94426,0.005908,0.005908,0.005908
64,8789.25,0.77279,0.62766,1.05335,0.9322,0.90333,0.95367,0.73723,0.68221,0.44261,0.94374,0.005842,0.005842,0.005842
65,8920.35,0.7713,0.62436,1.0505,0.93083,0.90411,0.95379,0.7376,0.68062,0.44109,0.94276,0.005776,0.005776,0.005776
66,9052.69,0.76846,0.62109,1.04684,0.93277,0.90461,0.95459,0.73854,0.67915,0.43904,0.94187,0.00571,0.00571,0.00571
67,9190.54,0.76767,0.61657,1.04895,0.9322,0.90503,0.95469,0.73969,0.67743,0.43747,0.9409,0.005644,0.005644,0.005644
68,9332.8,0.76614,0.60806,1.04767,0.93382,0.90636,0.95517,0.74059,0.67627,0.43573,0.94009,0.005578,0.005578,0.005578
69,9476.84,0.75898,0.60825,1.04346,0.93246,0.90677,0.95547,0.74066,0.67535,0.43438,0.9395,0.005512,0.005512,0.005512
70,9615.83,0.76027,0.60885,1.04364,0.93202,0.90701,0.95586,0.74022,0.67426,0.43315,0.93877,0.005446,0.005446,0.005446
71,9758.22,0.7578,0.60312,1.04085,0.93229,0.90685,0.95563,0.74065,0.67338,0.43177,0.93802,0.00538,0.00538,0.00538
72,9900.39,0.7528,0.59551,1.03972,0.93097,0.90694,0.9562,0.74143,0.67236,0.43059,0.93722,0.005314,0.005314,0.005314
73,10040.3,0.74972,0.59734,1.03898,0.93138,0.90704,0.95623,0.74159,0.67144,0.42955,0.93648,0.005248,0.005248,0.005248
74,10181.4,0.74435,0.58937,1.03546,0.93283,0.90826,0.95664,0.74193,0.67068,0.42818,0.93595,0.005182,0.005182,0.005182
75,10323.1,0.74672,0.58969,1.03705,0.93176,0.90876,0.95675,0.7423,0.66973,0.42681,0.93517,0.005116,0.005116,0.005116
76,10467.8,0.74706,0.58963,1.03617,0.93234,0.90915,0.95689,0.74279,0.66876,0.4256,0.93446,0.00505,0.00505,0.00505
77,10613,0.74336,0.58558,1.03494,0.93301,0.90815,0.9571,0.74382,0.66795,0.42476,0.93389,0.004984,0.004984,0.004984
78,10752.1,0.73807,0.58045,1.0313,0.93345,0.90882,0.95746,0.74416,0.66677,0.42366,0.93322,0.004918,0.004918,0.004918
79,10891,0.73641,0.57742,1.03251,0.93393,0.90926,0.95826,0.74541,0.66603,0.42258,0.93268,0.004852,0.004852,0.004852
80,11036.4,0.73416,0.57394,1.02733,0.93363,0.91093,0.95872,0.74612,0.66482,0.4214,0.93203,0.004786,0.004786,0.004786
81,11177.2,0.73232,0.56775,1.02702,0.93094,0.91155,0.95891,0.74672,0.66406,0.42034,0.93154,0.00472,0.00472,0.00472
82,11319.4,0.72862,0.566,1.0251,0.92973,0.91432,0.95953,0.74733,0.66308,0.41931,0.93097,0.004654,0.004654,0.004654
83,11461.7,0.72453,0.56256,1.02356,0.92844,0.91492,0.95977,0.74801,0.66236,0.41827,0.93053,0.004588,0.004588,0.004588
84,11600.4,0.72889,0.56387,1.02647,0.92726,0.91601,0.95988,0.7484,0.66141,0.41729,0.92988,0.004522,0.004522,0.004522
85,11741.4,0.7229,0.56161,1.02173,0.92786,0.91686,0.96018,0.74914,0.66044,0.41609,0.92931,0.004456,0.004456,0.004456
86,11884,0.72501,0.55701,1.02142,0.9273,0.91683,0.96074,0.74966,0.65957,0.41513,0.92884,0.00439,0.00439,0.00439
87,12025.6,0.72304,0.55609,1.02377,0.92925,0.9182,0.96103,0.75075,0.65884,0.41431,0.92831,0.004324,0.004324,0.004324
88,12167.9,0.7219,0.55973,1.02135,0.92642,0.92065,0.96097,0.75074,0.6578,0.41323,0.92767,0.004258,0.004258,0.004258
89,12309.7,0.71551,0.55035,1.01944,0.93399,0.91631,0.96108,0.7507,0.65688,0.41204,0.92698,0.004192,0.004192,0.004192
90,12453.9,0.7126,0.54754,1.01549,0.93486,0.91521,0.96136,0.75211,0.6558,0.41098,0.92625,0.004126,0.004126,0.004126
91,12598.2,0.7103,0.54421,1.01535,0.93292,0.9166,0.96153,0.75266,0.65485,0.4096,0.9256,0.00406,0.00406,0.00406
92,12743.3,0.70417,0.53838,1.01369,0.93218,0.91883,0.96181,0.75313,0.65377,0.40843,0.92495,0.003994,0.003994,0.003994
93,12893.3,0.7067,0.53791,1.01428,0.93216,0.92133,0.96286,0.75382,0.65289,0.40758,0.92441,0.003928,0.003928,0.003928
94,13035.8,0.70639,0.53537,1.01421,0.93229,0.92114,0.96298,0.75412,0.65189,0.40673,0.92384,0.003862,0.003862,0.003862
95,13175.6,0.7002,0.5365,1.00858,0.9316,0.9218,0.96312,0.75498,0.65074,0.40561,0.92324,0.003796,0.003796,0.003796
96,13315.4,0.69734,0.53106,1.00742,0.93248,0.92095,0.96339,0.75628,0.64977,0.40491,0.92263,0.00373,0.00373,0.00373
97,13453.6,0.69555,0.52885,1.00789,0.93418,0.92061,0.96373,0.75703,0.64874,0.40384,0.9221,0.003664,0.003664,0.003664
98,13589.5,0.69953,0.52995,1.00961,0.93412,0.92043,0.96401,0.75779,0.64792,0.40279,0.92154,0.003598,0.003598,0.003598
99,13719.4,0.69333,0.52635,1.00602,0.93229,0.92352,0.96417,0.75899,0.64705,0.40154,0.92097,0.003532,0.003532,0.003532
100,13846.3,0.68987,0.52175,1.00469,0.9315,0.92507,0.96438,0.75949,0.6462,0.40028,0.92029,0.003466,0.003466,0.003466
101,13972.4,0.6931,0.52273,1.00499,0.93195,0.92501,0.96447,0.75891,0.64522,0.39931,0.91966,0.0034,0.0034,0.0034
102,14097,0.69072,0.51969,1.00462,0.93341,0.92509,0.96481,0.7598,0.64425,0.39841,0.91906,0.003334,0.003334,0.003334
103,14242,0.69154,0.51816,1.00484,0.93524,0.9267,0.96506,0.76084,0.64324,0.39765,0.91845,0.003268,0.003268,0.003268
104,14391.6,0.68465,0.5154,1.00249,0.93472,0.92657,0.96527,0.7616,0.64214,0.39673,0.9178,0.003202,0.003202,0.003202
105,14542.3,0.68411,0.51342,1.00288,0.9356,0.92715,0.96611,0.7622,0.64127,0.39584,0.91716,0.003136,0.003136,0.003136
106,14689.3,0.68449,0.51258,1.00105,0.93559,0.92845,0.96642,0.76302,0.64031,0.39473,0.9165,0.00307,0.00307,0.00307
107,14832.8,0.67832,0.50669,1.00023,0.93555,0.92937,0.96662,0.76348,0.63945,0.39384,0.91582,0.003004,0.003004,0.003004
108,14984.6,0.67533,0.50669,1.00018,0.93615,0.92938,0.96653,0.76363,0.63846,0.3929,0.91521,0.002938,0.002938,0.002938
109,15133.9,0.67599,0.50549,0.99897,0.93776,0.92543,0.96666,0.76423,0.63769,0.39172,0.91463,0.002872,0.002872,0.002872
110,15275.3,0.67345,0.50476,0.99854,0.93392,0.93054,0.96698,0.76492,0.63657,0.39088,0.91402,0.002806,0.002806,0.002806
111,15417.2,0.67175,0.5026,0.9952,0.93249,0.93218,0.96751,0.76537,0.63538,0.39012,0.91327,0.00274,0.00274,0.00274
112,15552.1,0.67299,0.50069,0.9969,0.93355,0.93164,0.96776,0.76586,0.6346,0.38929,0.91275,0.002674,0.002674,0.002674
113,15678.4,0.6686,0.49966,0.99611,0.93473,0.93311,0.9679,0.76662,0.63361,0.38835,0.91209,0.002608,0.002608,0.002608
114,15804.3,0.66825,0.4958,0.9935,0.93448,0.93264,0.96807,0.76713,0.63269,0.38717,0.9114,0.002542,0.002542,0.002542
115,15930.3,0.66638,0.49463,0.99343,0.9353,0.93266,0.96812,0.7677,0.63186,0.38615,0.91083,0.002476,0.002476,0.002476
116,16056.6,0.66039,0.48675,0.99023,0.93454,0.93296,0.96837,0.76819,0.6308,0.38501,0.91022,0.00241,0.00241,0.00241
117,16186.9,0.65574,0.48672,0.988,0.9348,0.93292,0.96846,0.76937,0.62997,0.38392,0.90958,0.002344,0.002344,0.002344
118,16318.2,0.66079,0.48644,0.99161,0.93629,0.93108,0.96875,0.7701,0.62907,0.38307,0.90891,0.002278,0.002278,0.002278
119,16449.5,0.65404,0.48095,0.9867,0.93749,0.93048,0.96909,0.76991,0.62814,0.38219,0.90835,0.002212,0.002212,0.002212
120,16582.2,0.65711,0.48246,0.98978,0.93758,0.93201,0.96902,0.77115,0.62719,0.38133,0.90776,0.002146,0.002146,0.002146
121,16712.9,0.65794,0.48618,0.98867,0.93568,0.93227,0.96914,0.77185,0.6264,0.38025,0.90721,0.00208,0.00208,0.00208
122,16843.7,0.65429,0.48208,0.98849,0.93957,0.93088,0.9691,0.77212,0.62557,0.37957,0.90654,0.002014,0.002014,0.002014
123,16974.9,0.65526,0.4792,0.98767,0.93329,0.93546,0.96935,0.77208,0.62465,0.37878,0.90583,0.001948,0.001948,0.001948
124,17107.2,0.65186,0.47738,0.98608,0.93423,0.93553,0.96985,0.77246,0.62364,0.37791,0.90528,0.001882,0.001882,0.001882
125,17238.3,0.64682,0.47336,0.98301,0.9348,0.93488,0.97087,0.7739,0.62275,0.37701,0.90467,0.001816,0.001816,0.001816
126,17368.2,0.64452,0.47303,0.98411,0.93589,0.93558,0.97021,0.77382,0.62181,0.37617,0.904,0.00175,0.00175,0.00175
127,17497.2,0.64604,0.47194,0.98217,0.93653,0.9344,0.97038,0.77449,0.62092,0.37523,0.90345,0.001684,0.001684,0.001684
128,17625.1,0.6409,0.46575,0.9819,0.9365,0.93567,0.97065,0.77455,0.62004,0.37453,0.90288,0.001618,0.001618,0.001618
129,17749.5,0.64302,0.46853,0.98095,0.93836,0.93369,0.97161,0.77557,0.61921,0.37377,0.90231,0.001552,0.001552,0.001552
130,17874.5,0.63943,0.46825,0.98019,0.93855,0.93554,0.97107,0.77548,0.61845,0.37303,0.90182,0.001486,0.001486,0.001486
131,17998.7,0.63786,0.46301,0.98084,0.93764,0.93585,0.97135,0.77584,0.61767,0.37208,0.9013,0.00142,0.00142,0.00142
132,18121.5,0.63621,0.46342,0.98111,0.94143,0.93347,0.97252,0.77657,0.6168,0.37126,0.90077,0.001354,0.001354,0.001354
133,18245.2,0.63533,0.46146,0.9792,0.94135,0.93254,0.9726,0.77686,0.61601,0.37044,0.90026,0.001288,0.001288,0.001288
134,18369.2,0.62974,0.45722,0.97444,0.94238,0.93487,0.97291,0.77764,0.61521,0.36992,0.89964,0.001222,0.001222,0.001222
135,18498.6,0.63005,0.45713,0.97837,0.94256,0.9352,0.97393,0.77825,0.61428,0.36889,0.89914,0.001156,0.001156,0.001156
136,18628,0.63386,0.45988,0.97987,0.94204,0.93539,0.97348,0.77864,0.61369,0.36809,0.89876,0.00109,0.00109,0.00109
137,18758.7,0.62844,0.45603,0.97514,0.9435,0.93443,0.9738,0.77927,0.61295,0.36772,0.89831,0.001024,0.001024,0.001024
138,18890,0.62823,0.45372,0.97573,0.94404,0.93355,0.97382,0.77957,0.6123,0.36706,0.89782,0.000958,0.000958,0.000958
139,19021.7,0.62559,0.45141,0.97536,0.94464,0.93497,0.97491,0.78037,0.61151,0.3667,0.89741,0.000892,0.000892,0.000892
140,19151.7,0.62455,0.45151,0.97541,0.94544,0.93535,0.97519,0.7808,0.61089,0.36606,0.897,0.000826,0.000826,0.000826
141,19293.4,0.60408,0.38223,0.96083,0.94513,0.93555,0.97534,0.78118,0.6103,0.36529,0.89659,0.00076,0.00076,0.00076
142,19421,0.58738,0.36622,0.95072,0.94532,0.93673,0.97555,0.78119,0.60959,0.36446,0.89611,0.000694,0.000694,0.000694
143,19549.3,0.58484,0.36213,0.95125,0.94559,0.93829,0.97582,0.782,0.60888,0.36369,0.89563,0.000628,0.000628,0.000628
144,19677.1,0.57929,0.35697,0.94575,0.94502,0.94019,0.97618,0.78245,0.60832,0.36301,0.89516,0.000562,0.000562,0.000562
145,19806.1,0.57707,0.35724,0.94635,0.9446,0.94084,0.9764,0.78337,0.60731,0.36226,0.89456,0.000496,0.000496,0.000496
146,19934.4,0.57267,0.35513,0.94237,0.9445,0.94116,0.97648,0.78402,0.60653,0.3615,0.89412,0.00043,0.00043,0.00043
147,20063.5,0.57112,0.35036,0.94174,0.94433,0.94197,0.97678,0.78519,0.60582,0.36083,0.89372,0.000364,0.000364,0.000364
148,20192.3,0.56898,0.352,0.93976,0.94451,0.9424,0.977,0.78568,0.60502,0.35989,0.89318,0.000298,0.000298,0.000298
149,20320.2,0.56676,0.34777,0.93962,0.94436,0.94283,0.97727,0.78623,0.60429,0.35908,0.89257,0.000232,0.000232,0.000232
150,20448.5,0.56698,0.34763,0.94226,0.94428,0.94279,0.97692,0.78644,0.60366,0.35837,0.89217,0.000166,0.000166,0.000166
